Title;Genre;Languages;Series or Movie;Country Availability;Runtime;Director;Actors;View Rating;Rotten Tomatoes Score;Metacritic Score;Awards Received;Awards Nominated For;Boxoffice;Release Date;Netflix Release Date;IMDb Votes;IMDb Score
Soul Exodus;Documentary;English;Movie;Hungary,Belgium,France,Japan,Thailand,Russia,Hong Kong,Mexico,Portugal,India,Lithuania,Switzerland,United Kingdom,South Africa,Romania,Iceland,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,Singapore,Argentina,Greece,Malaysia,Slovakia,Sweden,Turkey,Colombia;1-2 hour;Csaba Bereczki;Psoy Korolenko, Daniel Kahn, Jake Shulman-Ment, Michael Alpert;;;;1;1;;15 Dec 2016;28/11/2019;52;7.2
The LEGO Movie 2: The Second Part;Animation, Action, Adventure, Comedy, Family, Fantasy, Musical;English;Movie;Germany,Portugal,India,Belgium,Netherlands,Canada;1-2 hour;Mike Mitchell;Elizabeth Banks, Tiffany Haddish, Chris Pratt, Will Arnett;PG;84;65;1;12;$105,806,508;8-feb-19;28/11/2019;55397;6.6
The Quartette;Comedy, Drama;Czech;Movie;Czech Republic,Slovakia;1-2 hour;Miroslav Krobot;Barbora Pol�kov�, Zdenek Julina, Jaroslav Plesl, Luk�s Melnk;;;;;8;;30-nov-17;28/11/2019;79;5.3
Ruben Brandt, Collector;Animation, Action, Crime, Drama, Thriller;English, Hungarian, Italian;Movie;Japan,France,India,United Kingdom,South Africa,Hungary,Israel,Greece,Sweden,Turkey;1-2 hour;Milorad Krstic;Matt Devere, Csaba M�rton, Iv�n Kamar�s, Gabriella H�mori;R;82;75;2;6;$ 117,96;15-feb-19;28/11/2019;6386;7.5
Wilson City;Adventure, Comedy, Crime, Fantasy, Mystery;Czech, Slovak;Movie;Czech Republic,Slovakia;1-2 hour;Tomas Masin;Tatiana Pauhofov�, Jir Mach�cek, Jan Kraus, Vojtech Dyk;Not Rated;;;;4;;1-oct-15;28/11/2019;171;5.4
The Body Remembers When the World Broke Open;Drama;English;Movie;Australia,United Kingdom,United States;1-2 hour;Kathleen Hepburn, Elle-M�ij� Tailfeathers;Elle-M�ij� Tailfeathers, Violet Nelson, Charlie Hannah, Barbara Eve Harris;TV-MA;97;87;13;12;;29-nov-19;27/11/2019;578;6.9
The Irishman: In Conversation;Documentary, Short;English;Movie;Turkey,Spain,Portugal,Hong Kong,United Kingdom,Canada,Belgium,Romania,South Africa,Thailand,Mexico,Greece,Argentina,France,Czech Republic,Japan,Iceland,South Korea,Sweden,Singapore,Russia,Poland,Hungary,Germany,India,Lithuania,Slovakia,United States,Brazil,Netherlands,Italy,Israel,Colombia;< 30 minutes;Martin Scorsese;Joe Pesci, Robert De Niro, Martin Scorsese, Al Pacino;TV-MA;;;;;;27-nov-19;27/11/2019;1624;7.4
Zona Rosa;Documentary;English, Spanish;Series;Spain,Turkey,Mexico,Italy,Romania,Thailand,Belgium,South Africa,France,South Korea,Australia,Japan,Sweden,Switzerland,Netherlands,Czech Republic,Poland,Singapore,Russia,Greece,Hong Kong,Germany,Portugal,India,Hungary,Brazil,Israel,Lithuania,Slovakia,Argentina,United Kingdom,Iceland,Canada,United States,Malaysia,Colombia;< 30 minutes;Dan Castle;Mily Miranda, Christian Miranda, Willy Rodriguez;;43;;;;;15-oct-05;27/11/2019;67;4.8
The Irishman;Biography, Crime, Drama;English, Italian, Latin, Spanish, German;Movie;Spain,Turkey,Mexico,Romania,Thailand,South Africa,Belgium,Japan,Czech Republic,France,Singapore,South Korea,Hong Kong,Russia,Greece,Sweden,Poland,Hungary,India,Slovakia,Portugal,Germany,Lithuania,Argentina,United Kingdom,Iceland,Canada,United States,Brazil,Netherlands,Italy,Israel,Colombia;> 2 hrs;Martin Scorsese;Joe Pesci, Harvey Keitel, Robert De Niro, Al Pacino;R;95;94;74;334;;27-nov-19;27/11/2019;328049;7.9
Super Monsters Save Christmas;Animation, Family, Fantasy;;Movie;Spain,Turkey,Mexico,Italy,Romania,Thailand,South Africa,Belgium,Australia,Czech Republic,Japan,France,Switzerland,South Korea,Singapore,Russia,Greece,Netherlands,Hong Kong,Sweden,India,Poland,Hungary,Portugal,Slovakia,Germany,Israel,Brazil,Lithuania,Argentina,Iceland,United Kingdom,Canada,United States,Malaysia,Colombia;< 30 minutes;;Gigi Saul Guerrero;;;;;;;26-nov-19;27/11/2019;57;4.8
Evvarikee Cheppoddu;Drama;Telugu;Movie;Romania,Thailand,South Africa,Australia,Singapore,Russia,India,Hungary,Lithuania,United Kingdom,Canada,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel;> 2 hrs;Basava Shankar Eeday;Keshav Deepak, Sujatha Gosukonda, Durgaprasad K, Rajsekhar Aningi;;;;;;;9-oct-19;27/11/2019;323;7.2
Pranaam;Action, Crime, Drama, Thriller;Hindi;Movie;Australia,Singapore,Hungary,India,Thailand,Romania,South Africa,Russia,Lithuania,United Kingdom,Canada,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel;1-2 hour;Sanjiv Jaiswal;Sameksha, Rajeev Khandelwal, Atul Kulkarni, Abhimanyu Singh;;;;;;;09 Aug 2019;24/11/2019;262;4.3
Legal High;Comedy, Drama;Korean;Series;South Korea,South Africa,Thailand,Israel,Singapore,India,Malaysia,Turkey;< 30 minutes;;Eun-Su Seo, Jin Goo, Jeong-an Chae, Bak Yoon;;;;;;;8-feb-19;24/11/2019;64;7.2
Moment of Eighteen;Drama, Romance;Korean;Series;South Korea,South Africa,Thailand,Israel,Singapore,India,Malaysia,Turkey;< 30 minutes;;Seong-wu Ong, Hyang-gi Kim, Kang Ki-Young, Seung-Ho Shin;;;;3;1;;22-jul-19;24/11/2019;235;7.7
Be Melodramatic;Comedy, Romance;Korean;Series;South Korea,South Africa,Thailand,Israel,Singapore,India,Malaysia,Turkey;< 30 minutes;;Han Ji-Eun, Woo-hee Chun, Jae-hong Ahn, Yeo-bin Jeon;;;;;1;;09 Aug 2019;24/11/2019;302;8.1
The Wind Blows;Drama;Korean;Series;South Korea,South Africa,Thailand,Israel,Singapore,India,Malaysia,Turkey;< 30 minutes;;Ha-neul Kim, Woo-seong Kam;;;;;;;27-may-19;24/11/2019;24;7.7
The Light in Your Eyes;Comedy, Drama, Fantasy, Romance;Korean;Series;South Korea,South Africa,Thailand,Israel,Singapore,India,Malaysia,Turkey,Japan;< 30 minutes;;Ho Joon Son, Hye-ja Kim, Nam Joo-Hyuk, Han Ji-min;;;;2;8;;11-feb-19;24/11/2019;391;8
Flower Crew:Joseon Marriage;Comedy, History, Romance;Korean;Series;South Korea,South Africa,Thailand,Israel,Singapore,India,Malaysia,Turkey;< 30 minutes;;Ji-Hoon Park, Seo Ji-Hoon, Gong Seung-Yeon, Min-Jae Kim;;;;;;;16-sep-19;24/11/2019;124;6.9
Beautiful World;Drama, Mystery;Korean;Series;South Korea,South Africa,Thailand,Israel,Singapore,India,Malaysia,Turkey;< 30 minutes;;Ja-Hyeon Chu, Hee-soon Park, Yeo-jeong Cho, Oh Man-Seok;;;;;;;05 Apr 2019;24/11/2019;78;8.4
Awake;Action, Crime, Thriller;English;Movie;Australia,United Kingdom,Canada,United States;1-2 hour;Aleksandr Chernyaev;Jonathan Rhys Meyers, Francesca Eastwood, William Forsythe, Malik Yoba;Not Rated;;;;;;16 Aug 2019;24/11/2019;2707;5
Gaston Lagaffe;Adventure, Comedy;French;Movie;Poland;1-2 hour;Pierre-Fran�ois Martin-Laval;Pierre-Fran�ois Martin-Laval, Arnaud Ducret, Tho Fernandez, Jrme Commandeur;;;;;;;04 Apr 2018;23/11/2019;877;4.4
Belleville Cop;Comedy, Crime;English, Spanish, French;Movie;Italy;1-2 hour;Rachid Bouchareb;Biyouna, Diem Nguyen, Omar Sy, Luis Guzm�n;;;;;;;17-oct-18;23/11/2019;1801;4.9
Welcome to Marwen;Biography, Comedy, Drama, Fantasy, Romance;English, German, French, Russian;Movie;Russia,Israel,Lithuania,Australia,Greece,United Kingdom,Poland,Turkey,Canada,Thailand,Singapore,Malaysia,Hong Kong;1-2 hour;Robert Zemeckis;Falk Hentschel, Matt O Leary, Steve Carell, Nikolai Witschl;PG-13;34;40;2;8;$10,763,520;21 Dec 2018;23/11/2019;20193;6.2
How to Train Your Dragon: The Hidden World;Animation, Action, Adventure, Family, Fantasy;English;Movie;Poland,Sweden,Turkey,Israel,Greece,Lithuania,Thailand,Singapore,Hong Kong,Malaysia;1-2 hour;Dean DeBlois;Jay Baruchel, Cate Blanchett, F. Murray Abraham, America Ferrera;PG;90;71;5;61;$160,799,505;22-feb-19;23/11/2019;105076;7.5
Dino Girl Gauko;Animation, Comedy, Family, Fantasy, Sci-Fi;English;Series;Lithuania,Turkey,South Africa,Slovakia,Spain,United Kingdom,Belgium,Canada,Mexico,Romania,Greece,Iceland,Thailand,Argentina,Czech Republic,Singapore,Australia,France,Japan,Hong Kong,South Korea,Switzerland,Sweden,Poland,India,Hungary,Germany,Portugal,Russia,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;< 30 minutes;;Naoko Matsui, Ben Diskin, Corina Boettger, Laura Post;TV-Y7-FV;;;;1;;;22/11/2019;49;6.9
Singapore Social;Reality-TV;English;Series;Switzerland,Lithuania,Brazil,Slovakia,Turkey,South Africa,Belgium,United Kingdom,Israel,Spain,Canada,Mexico,Greece,Romania,Iceland,United States,Argentina,Thailand,Australia,France,Czech Republic,Italy,Singapore,Netherlands,South Korea,Japan,Sweden,Poland,Hong Kong,Hungary,India,Germany,Portugal,Russia,Malaysia,Colombia;< 30 minutes;;Nicole Ong, Sukki Singapora, Vinny Sharpe, Paul Foster;;;;;;;22-nov-19;22/11/2019;469;4.9
Nobodys Looking;Crime, Horror, Mystery, Sci-Fi;English;Series;Switzerland,India,Lithuania,Brazil,Hungary,Turkey,Belgium,South Africa,Slovakia,United Kingdom,Spain,Israel,Mexico,Canada,Romania,Greece,Iceland,United States,Argentina,Thailand,France,Japan,Australia,Singapore,South Korea,Czech Republic,Hong Kong,Italy,Netherlands,Poland,Sweden,Portugal,Germany,Russia,Malaysia,Colombia;< 30 minutes;Shawn Linden;Ed O Ross, Dawn Johnson, Costas Mandylor, Darren Wall;;35;;;;;28-jul-07;22/11/2019;431;4.5
Narcoworld: Dope Stories;Documentary, Crime;English;Series;Switzerland,Brazil,Lithuania,Turkey,Slovakia,South Africa,Belgium,United Kingdom,Spain,Canada,Israel,Mexico,Romania,Greece,Iceland,United States,Argentina,Thailand,Czech Republic,Australia,France,Japan,Hong Kong,South Korea,Italy,Netherlands,Sweden,Singapore,Poland,Hungary,Portugal,Germany,India,Russia,Malaysia,Colombia;< 30 minutes;;Michael Beach;TV-MA;;;;;;22-nov-19;22/11/2019;247;6.6
Dolly Partons Heartstrings;Comedy, Drama, Music, Musical;English;Series;Italy,Switzerland,Brazil,Lithuania,Slovakia,Turkey,South Africa,Spain,United Kingdom,Belgium,Israel,Canada,Mexico,Romania,Iceland,Greece,United States,Argentina,Thailand,Australia,France,Czech Republic,Singapore,Netherlands,Japan,South Korea,Sweden,Hong Kong,Poland,Hungary,India,Germany,Portugal,Russia,Malaysia,Colombia;< 30 minutes;;Dolly Parton;TV-14;;;3;5;;22-nov-19;22/11/2019;1804;7.6
Obawa;Drama, Thriller, War;Polish;Movie;Poland;1-2 hour;Marcin Krzysztalowicz;Weronika Rosati, Marcin Dorocinski, Sonia Bohosiewicz, Maciej Stuhr;;;;4;8;;19-oct-12;22/11/2019;1187;6.4
Marie Curie: The Courage of Knowledge;Biography, Drama, Romance;French, German, English, Polish;Movie;Poland;1-2 hour;Marie No�lle;Karolina Gruszka, Arieh Worthalter, Charles Berling, Izabela Kuna;;65;49;3;8;$ 127,99;30-jun-17;22/11/2019;1211;5.5
Brightburn;Drama, Horror, Mystery, Sci-Fi;English;Movie;Russia,Lithuania,Portugal,Poland,Czech Republic,Slovakia,Greece,Belgium,Sweden;1-2 hour;David Yarovesky;Elizabeth Banks, Jackson A. Dunn, David Denman, Abraham Clinkscales;R;58;44;1;2;$17,300,439;24-may-19;22/11/2019;79451;6.1
Flower and Snake 3;Thriller;Japanese;Movie;Japan;1-2 hour;Shgor Nishimura;Yuri Yau, Sadami Sakamoto, Minako Ogawa, Mariko Kajikawa;;;;;;;8-mar-86;22/11/2019;43;6.1
Shelby American;Documentary, Biography, Family, History, Sport;English;Movie;Australia,South Africa,United Kingdom,Canada,Sweden,Iceland,Belgium,United States,Netherlands;1-2 hour;Nate Adams, Adam Carolla;Mario Andretti, Zora Arkus-Duntov, Chris Amon, Charlie Agapiou;;;;;;;22-nov-19;22/11/2019;559;7.3
The Knight Before Christmas;Adventure, Comedy, Drama, Fantasy, Romance;English;Movie;Turkey,Switzerland,Spain,United Kingdom,Mexico,Italy,Canada,Romania,Belgium,Israel,United States,South Africa,Greece,Iceland,Argentina,Czech Republic,Thailand,France,Japan,South Korea,Singapore,Hong Kong,Netherlands,Sweden,Poland,India,Hungary,Portugal,Slovakia,Germany,Brazil,Lithuania,Russia,Colombia;1-2 hour;Monika Mitchell;Emmanuelle Chriqui, Josh Whitehouse, Ella Kenion, Vanessa Hudgens;TV-PG;;;1;2;;21-nov-19;21/11/2019;14979;5.5
Mortel;Horror, Sci-Fi;French;Series;South Africa,Slovakia,Argentina,Lithuania,Brazil,Turkey,Spain,United Kingdom,Switzerland,Mexico,Canada,Italy,Romania,Belgium,Israel,United States,Iceland,Greece,Thailand,Czech Republic,Australia,Japan,France,South Korea,Singapore,Netherlands,Hong Kong,Sweden,Poland,Hungary,Portugal,India,Germany,Russia,Malaysia,Colombia;< 30 minutes;;Nmo Schiffman, Carl Malapa, Corentin Fila, Manon Bresch;;;;;;;21-nov-19;21/11/2019;815;6.6
The Inheritance;Mystery, Short;English;Movie;Slovakia;1-2 hour;Glen Shapiro;Al Schuermann, Amy Tinkham, Neil Johnson, Deanne Carlin;;;;;;;;21/11/2019;11;7.2
At Your Own Risk;Action, Thriller;Czech;Movie;Slovakia;1-2 hour;Filip Renc;V�clav Jir�cek, Jir Langmajer, Filip Blazek, Lucia Siposov�;;;;;;;24 Jan 2008;21/11/2019;123;3.7
Im All Good;Comedy;Czech;Movie;Slovakia;1-2 hour;Jan Hrebejk;Miroslav Vladyka, Lenka Vlas�kov�, Bolek Polvka, Jir Schmitzer;;40;;;;;15-may-08;21/11/2019;374;6.4
Gangster Ka: African;Crime, Drama, Thriller;Czech, English, Zulu;Movie;Czech Republic,Slovakia;1-2 hour;Jan Pachl;Vlastina Sv�tkov�, Filip Capka, Hynek Cerm�k, Predrag Bjelac;R;;;;;;26-nov-15;21/11/2019;131;6.6
10 Rules for Winning Her Heart;Comedy, Romance;Czech;Movie;Slovakia;1-2 hour;Karel Jan�k;Matous Ruml, Jakub Prachar, Kristna Svarinsk�, Miroslav Donutil;;0;;;;;20-mar-14;21/11/2019;249;5.6
After the Rain;Animation, Drama, Romance;Japanese;Movie;Japan,South Korea;1-2 hour;;Jason Douglas, Hiroaki Hirata, Sayumi Watabe, Luci Christian;;;;;1;;11 Jan 2018;21/11/2019;849;7.5
The Longest Yard;Comedy, Crime, Drama, Sport;English;Movie;Hong Kong,Singapore;> 2 hrs;Robert Aldrich;Burt Reynolds, Eddie Albert, Ed Lauter, Michael Conrad;R;79;61;2;4;$43,008,075;30 Aug 1974;20/11/2019;17201;7.1
Bikram: Yogi, Guru, Predator;Documentary, Crime;English;Movie;United Kingdom,Spain,Argentina,Mexico,Canada,Romania,United States,South Africa,Italy,Switzerland,Czech Republic,Belgium,Israel,Greece,Australia,Japan,Russia,Thailand,South Korea,Singapore,France,Hong Kong,Netherlands,Sweden,India,Poland,Hungary,Portugal,Slovakia,Germany,Brazil,Lithuania,Turkey,Iceland,Malaysia,Colombia;1-2 hour;Eva Orner;Larissa Anderson, Francesca Asumah, Bikram Choudhury, Sarah Baughn;TV-MA;;68;;1;;20-nov-19;20/11/2019;5523;6.7
Who Killed Little Gregory;Documentary, Crime;French;Series;Lithuania,Greece,Brazil,Slovakia,Turkey,Mexico,Spain,United Kingdom,Canada,Argentina,Thailand,Romania,Italy,South Africa,Switzerland,United States,Belgium,Israel,France,South Korea,Australia,Czech Republic,Sweden,Netherlands,Japan,Russia,Singapore,Poland,Hong Kong,Portugal,Hungary,Germany,India,Iceland,Malaysia,Colombia;< 30 minutes;;William Salyers, James Simenc, Page Leong, Peter James Smith;;;;;;;20-nov-19;20/11/2019;2203;7.4
Holiday Secrets;Drama;German;Series;South Africa,Hungary,Iceland,India,Greece,Lithuania,Brazil,Slovakia,Mexico,Turkey,United Kingdom,Spain,Canada,Thailand,Argentina,Romania,United States,Italy,Switzerland,Belgium,Israel,Czech Republic,Australia,France,South Korea,Japan,Singapore,Russia,Netherlands,Sweden,Poland,Hong Kong,Portugal,Germany,Malaysia,Colombia;< 30 minutes;;Christiane Paul, Corinna Harfouch, Leonie Benesch, Svenja Jung;;;;;;;20-nov-19;20/11/2019;917;6.5
Lorena, Light-Footed Woman;Documentary, Short, Sport;Spanish, Tarahumara;Movie;Germany,Spain,Turkey,Brazil,Argentina,Mexico,Romania,South Africa,Italy,Czech Republic,Switzerland,Belgium,Israel,United States,Greece,Japan,Russia,South Korea,Hong Kong,Singapore,France,Thailand,Netherlands,Sweden,Hungary,Poland,Slovakia,Portugal,Lithuania,India,Canada,Iceland,United Kingdom,Colombia;< 30 minutes;Juan Carlos Rulfo;Juana Ramrez, Mario Ramrez, Lorena Ramirez, Santiago Ramrez;;;;1;;;20-nov-19;20/11/2019;496;7
Volta;Comedy;Polish;Movie;Poland;1-2 hour;Juliusz Machulski;Olga Boladz, Michal Zurawski, Andrzej Zielinski, Aleksandra Domanska;;;;;2;;7-jul-17;20/11/2019;532;5.1
With Fire and Sword;Adventure, Drama, History, Romance, War;Polish, Tatar, Ukrainian, Turkish;Movie;Poland;> 2 hrs;Jerzy Hoffman;Krzysztof Kowalewski, Michal Zebrowski, Aleksandr Domogarov, Izabella Scorupco;;76;;5;9;;8-feb-99;20/11/2019;4399;7
Women of Mafia;Action, Crime, Drama;Polish, English;Movie;Poland;> 2 hrs;Patryk Vega;Olga Boladz, Agnieszka Dygant, Aleksandra Poplawska, Katarzyna Warnke;;;;;;;22-feb-18;20/11/2019;1273;4.7
Sniadanie do l�zka;Comedy;Polish;Movie;Poland;1-2 hour;Krzysztof Lang;Tomasz Karolak, Piotr Adamczyk, Izabela Kuna, Malgorzata Socha;;;;;;;10-nov-10;20/11/2019;456;4.4
Botoks;Action, Drama, Thriller;Polish;Movie;Poland;> 2 hrs;Patryk Vega;Olga Boladz, Agnieszka Dygant, Katarzyna Warnke, Marieta Zukowska;;0;;;;;29-sep-17;20/11/2019;1675;3.6
Birds Are Singing in Kigali;Drama;Polish, English, Kinyarwanda;Movie;Poland;1-2 hour;Joanna Kos-Krauze, Krzysztof Krauze;Eliane Umuhire, Witold Wielinski, Ciza Remy Muhirwa, Jowita Budnik;;;;8;10;;22-sep-17;20/11/2019;288;5.6
Smolesk;Drama, Thriller;Polish, English;Movie;Poland;1-2 hour;Antoni Krauze;Aldona Struzik, Maciej P�ltorak, Lech Lotocki, Beata Fido;;11;;;;;9-sep-16;20/11/2019;7669;1.4
Shameless;Drama;Polish;Movie;Poland;1-2 hour;Filip Marczewski;Anna Pr�chniak, Agnieszka Grochowska, Mateusz Kosciukiewicz, Maciej Marczewski;;;;1;2;;20-jul-12;20/11/2019;974;5.2
Pita pora roku;Drama;Polish;Movie;Poland;1-2 hour;Jerzy Domaradzki;Ewa Wisniewska, Andrzej Grabowski, Marian Dziedziel, Agnieszka Mandat;;;;1;1;;26 Dec 2012;20/11/2019;122;6.3
When I Get Home, My Wife Always Pretends to be Dead;Comedy, Drama;Japanese;Movie;Japan;1-2 hour;Toshio Lee;Ken Yasuda, Nana Eikura, Sumika Nono, Ryhei Ohtani;;;;;;;8-jun-18;20/11/2019;724;6.4
Mallesham;Biography;Telugu;Movie;South Africa,Singapore,Russia,Lithuania,Thailand,Romania,Canada,India,Hungary,United Kingdom,Czech Republic,United States,Israel,Iceland,Greece,Slovakia;> 2 hrs;Raj Rachakonda;Ananya Nagalla, Priyadarshi, Jhansi, Chakrapani Ananda;;;;;;;14-jun-19;20/11/2019;817;8.5
Iliza Shlesinger: Unveiled;Comedy;English;Movie;Romania,Russia,Portugal,Iceland,Greece,Lithuania,Mexico,Spain,Switzerland,Italy,Canada,Belgium,Israel,South Africa,Czech Republic,Argentina,Thailand,France,Netherlands,Japan,South Korea,Sweden,Singapore,Poland,Hong Kong,Germany,India,Hungary,Brazil,Slovakia,Turkey,United Kingdom,United States;1-2 hour;Steve Paley;Iliza Shlesinger, Mona Parks, Darren Capozzi;TV-MA;;;;;;19-nov-19;19/11/2019;1338;6.5
No Time for Shame;Reality-TV;Spanish;Series;Mexico,Hungary,Lithuania,Slovakia,United Kingdom,Spain,Iceland,Greece,Canada,Romania,South Africa,Thailand,Argentina,Switzerland,Czech Republic,Belgium,Australia,Japan,Russia,Singapore,France,Sweden,Hong Kong,Poland,Portugal,India,Germany,United States,Turkey,Malaysia,Brazil,Italy,Israel,Colombia;< 30 minutes;;Edwin Salinas;;;;;;;19-nov-19;19/11/2019;69;5.6
Iron Sky: The Coming Race;Action, Adventure, Comedy, Sci-Fi;English, German;Movie;United States;1-2 hour;Timo Vuorensola;Julia Dietze, Vladimir Burlakov, Lara Rossi, Kit Dale;;29;;;2;;19-jul-19;16/11/2019;8705;5
Candy Online;;Chinese;Series;Romania,Argentina,Switzerland,Mexico,Belgium,Iceland,Australia,South Africa,Czech Republic,Japan,France,South Korea,Russia,Hong Kong,Singapore,Sweden,Poland,Greece,Portugal,Hungary,India,Slovakia,Germany,Lithuania,Thailand,Turkey,United Kingdom,Spain,Canada,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;< 30 minutes;;Dean Tang;;;;;1;;16-nov-19;16/11/2019;14;5.3
Grapes;Comedy;Czech;Movie;Czech Republic,Slovakia;1-2 hour;Tom�s Barina;Krystof H�dek, Lubomr Lipsk�, Luk�s Langmajer, Tereza Ramba;;;;2;1;;27-mar-08;16/11/2019;749;6.6
Rosebud;Comedy, Drama, Romance;Korean, English;Movie;South Korea;> 2 hrs;Seok-Hyun Jo;Yeon-Soo Ha, Ho-jeong Yu, Seok-jeong Hwang, Park Sung-Woong;;;;;;;16 Jan 2019;16/11/2019;45;6.3
Paw Patrol: Ready, Race, Rescue;Animation, Family;English;Movie;Canada;30-60 mins;Keith Chapman, Charles E. Bastien;Cal Dodd, Anya Cooke, Isaac Emberson-Heeks, Julius Cho;Not Rated;;;;;;08 Aug 2019;15/11/2019;151;4.6
The Fanatic;Crime, Thriller;English;Movie;Canada;1-2 hour;Fred Durst;Ana Golja, Devon Sawa, Jacob Grodnik, John Travolta;R;16;18;2;2;;30 Aug 2019;15/11/2019;7151;4.1
Diego Maradona;Documentary, Biography, Sport;Spanish, Italian, English, French, Portuguese, Catalan;Movie;Italy,India;> 2 hrs;Asif Kapadia;Claudia Villafa�e, Dalma Maradona, Diego Maradona, Pel;TV-14;90;78;1;13;;20-sep-19;15/11/2019;13955;7.7
The Club;Comedy, Drama, Mystery;Spanish;Series;Slovakia,Turkey,Spain,Italy,Iceland,United Kingdom,Canada,Belgium,Romania,South Africa,Thailand,Greece,Mexico,United States,Switzerland,Argentina,Czech Republic,Australia,France,Israel,Japan,South Korea,Netherlands,Hong Kong,Russia,Singapore,Sweden,Poland,Portugal,India,Hungary,Germany,Lithuania,Brazil,Malaysia,Colombia;< 30 minutes;Pablo Larran;Marcelo Alonso, Roberto Faras, Alfredo Castro, Antonia Zegers;Not Rated;;73;19;29;$ 52,76;28-may-15;15/11/2019;9753;7.2
House Arrest;Comedy, Family;English;Movie;Italy,Iceland,South Africa,United Kingdom,Spain,Romania,Canada,Belgium,Thailand,United States,Greece,Czech Republic,Mexico,Switzerland,Argentina,Israel,Australia,Singapore,Japan,Russia,South Korea,France,Hong Kong,Netherlands,Sweden,India,Hungary,Poland,Portugal,Slovakia,Germany,Brazil,Lithuania,Turkey,Malaysia,Colombia;1-2 hour;Harry Winer;Kevin Pollak, Kyle Howard, Jamie Lee Curtis, Herbert Russell;PG;10;;;1;$7,032,782;14 Aug 1996;15/11/2019;8038;5.9
Im with the Band: Nasty Cherry;Action, Adventure, Fantasy, Sci-Fi;English, Sanskrit;Series;Mexico,Brazil,Lithuania,Slovakia,Turkey,United Kingdom,Iceland,Italy,Spain,Canada,South Africa,Romania,Belgium,Thailand,United States,Greece,Switzerland,Czech Republic,Argentina,Australia,France,Israel,Japan,South Korea,Netherlands,Singapore,Hong Kong,Russia,Poland,Sweden,Portugal,Hungary,India,Germany,Malaysia,Colombia;< 30 minutes;George Lucas;Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd;PG;52;51;26;69;$474,544,677;19-may-99;15/11/2019;733336;6.5
Earthquake Bird;Crime, Drama, Mystery, Romance, Thriller;English, Japanese;Movie;Argentina,Italy,Spain,Mexico,Iceland,United Kingdom,South Africa,Canada,Romania,Thailand,Belgium,United States,Greece,Czech Republic,Switzerland,Israel,Australia,Japan,Russia,Hong Kong,France,Singapore,South Korea,India,Netherlands,Sweden,Hungary,Poland,Portugal,Slovakia,Germany,Brazil,Lithuania,Turkey,Malaysia,Colombia;1-2 hour;Wash Westmoreland;Kiki Sukezane, Alicia Vikander, Chiaki Kawamo, Kenichi Masuda;R;50;51;;;;15-nov-19;15/11/2019;12606;5.9
Klaus;Animation, Adventure, Comedy, Family;English, Saami;Movie;Argentina,Israel,Mexico,Brazil,Lithuania,Iceland,Italy,Spain,United Kingdom,Slovakia,Turkey,South Africa,Romania,Belgium,Thailand,Canada,Greece,Switzerland,Czech Republic,United States,Australia,Singapore,Russia,South Korea,Japan,France,Hong Kong,Sweden,Netherlands,Hungary,India,Poland,Portugal,Germany,Colombia;1-2 hour;Sergio Pablos, Carlos Martnez L�pez;Rashida Jones, J.K. Simmons, Jason Schwartzman, Will Sasso;PG;;65;10;25;;15-nov-19;15/11/2019;106820;8.2
Zlat� podraz;Drama, Sport;Czech;Movie;Czech Republic,Slovakia;1-2 hour;Radim Spacek;Zdenek Piskula, Filip Brezina, Patricia Volny, Jan Mansfeld;;;;;9;;25-oct-18;15/11/2019;86;6
In the Shadow;Crime, Drama, Thriller;Polish, German, Czech;Movie;Czech Republic,Slovakia;1-2 hour;David Ondrcek;Sebastian Koch, Sona Norisov�, Ivan Trojan, Jir Stepnicka;;;;13;6;;13-sep-12;15/11/2019;1653;7.1
Fotograf;Biography, Comedy, Drama;Czech;Movie;Czech Republic,Slovakia;> 2 hrs;Irena Pavl�skov�;V�clav Neuzil, Karel Roden, Marie M�lkov�, Zuzana Vejvodov�;R;;;;3;;08 Jan 2015;15/11/2019;364;6.2
Bikers;Reality-TV;English;Movie;Czech Republic,Slovakia;1-2 hour;;Dave Myers, Si King;;;;;;;02 Jan 2017;15/11/2019;13;7.9
2Bobule;Comedy, Romance;Czech;Movie;Czech Republic,Slovakia;1-2 hour;Vlad Lanne;Krystof H�dek, Jir Krampol, Jan Antonn Duchoslav, Jir Korn;;;;;;;22-oct-09;15/11/2019;309;5.2
ZombieLars;Comedy, Drama, Fantasy;Norwegian;Series;Belgium,Netherlands;< 30 minutes;;Dat Gia Hoang, Leonard Valestrand Eike, Helena F. dven, Hannah Raanes-Holm;;;;;;;;15/11/2019;172;7.6
Loners;Comedy;Czech;Movie;Czech Republic;1-2 hour;David Ondrcek;Labina Mitevska, Sasa Rasilov, Jir Mach�cek, Jitka Schneiderov�;;93;33;10;12;;13 Apr 2000;15/11/2019;2843;7.5
