Title;Genre;Languages;Series or Movie;Country Availability;Runtime;Director;Actors;View Rating;Rotten Tomatoes Score;Metacritic Score;Awards Received;Awards Nominated For;Boxoffice;Release Date;Netflix Release Date;IMDb Votes;IMDb Score
The Golden Child;Action, Adventure, Comedy, Fantasy, Mystery;English;Movie;Hong Kong,Thailand,Italy,Singapore,Malaysia;1-2 hour;Michael Ritchie;Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis;PG-13;23;37;;2;$79,817,937;12 Dec 1986;14/4/2015;51660;6
Childs Pose;Drama;Romanian;Movie;Romania;1-2 hour;C�lin Peter Netzer;Ilinca Goia, Natasa Raab, Luminita Gheorghiu, Bogdan Dumitrache;Not Rated;92;77;13;8;$ 97,17;8-mar-13;14/4/2015;7966;7.4
Chup Chup Ke;Comedy, Drama, Romance;Hindi;Movie;Australia,Singapore,Czech Republic,India,Slovakia,Lithuania,Romania,Russia,Hungary,Greece,United Kingdom,Canada,South Africa,Iceland,Thailand,Poland,Germany,Spain,Argentina,Mexico,Hong Kong,Switzerland,Belgium,France,Portugal,Sweden,United States,Japan,Turkey,Malaysia,Brazil,Italy,Israel,Colombia;> 2 hrs;Kookie Gulati, Priyadarshan;Neha Dhupia, Shahid Kapoor, Kareena Kapoor, Paresh Rawal;Not Rated;70;;;;$ 334,62;9-jun-06;14/4/2015;8615;6.8
Christmas with the Kranks;Comedy, Family;English, Spanish;Movie;Belgium,Canada,Netherlands;1-2 hour;Joe Roth;M. Emmet Walsh, Tim Allen, Jamie Lee Curtis, Dan Aykroyd;PG;5;22;3;4;$73,780,539;24-nov-04;14/4/2015;44614;5.4
Chalet Girl;Comedy, Romance, Sport;English, German;Movie;United Kingdom;1-2 hour;Phil Traill;Bill Bailey, Miquita Oliver, Rick Edwards, Felicity Jones;R;77;42;;1;$ 1,71;14-oct-11;14/4/2015;24149;6.3
Chocolate;Action, Drama;Thai, Japanese, English;Movie;Thailand;1-2 hour;Prachya Pinkaew;JeeJa Yanin, Pongpat Wachirabunjong, Hiroshi Abe, Taphon Phopwandee;R;73;;2;5;$ 14,85;6-feb-08;14/4/2015;17299;6.9
Chinese Puzzle;Comedy, Drama, Romance;French, English, Spanish, Chinese, Yiddish;Movie;Spain,France;> 2 hrs;Cdric Klapisch;Romain Duris, Ccile de France, Kelly Reilly, Audrey Tautou;R;79;64;;2;$ 338,52;16-may-14;14/4/2015;13476;7
Luck by Chance;Drama;Hindi, English;Movie;Singapore,France,Russia,Hong Kong,Hungary,Belgium,Germany,Lithuania,Turkey,Greece,South Africa,Iceland,Romania,Argentina,Thailand,Mexico,Czech Republic,India,Slovakia,Canada,United Kingdom,Australia,United States,Brazil,Netherlands,Israel,Italy,Colombia;> 2 hrs;Zoya Akhtar;Farhan Akhtar, Konkona Sen Sharma, Dimple Kapadia, Rishi Kapoor;Not Rated;81;58;6;7;$ 356,02;30 Jan 2009;14/4/2015;9526;7.1
Stranger by the Lake;Drama, Romance, Thriller;French;Movie;France;1-2 hour;Alain Guiraudie;Jrme Chappatte, Christophe Paou, Patrick d Assum�ao, Pierre Deladonchamps;Not Rated;94;82;19;41;$ 325,20;12-jun-13;14/4/2015;13289;6.9
Chashme Buddoor;Comedy, Drama;Hindi;Movie;Lithuania,Mexico,South Africa,Russia,United Kingdom,Canada,Australia,India,Iceland,Hong Kong,Spain,Argentina,Czech Republic,Slovakia,Germany,Hungary,Portugal,Thailand,Switzerland,Greece,Belgium,Sweden,Singapore,Japan,France,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania;> 2 hrs;David Dhawan;Divyendu Sharma, Siddharth, Taapsee Pannu, Ali Zafar;Not Rated;;;1;1;;05 Apr 2013;14/4/2015;4935;5.4
